url, timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
http://mashable.com/2014/11/13/who-buzzfeed-ban/,54,12,225,0.639639637,0.999999993,0.785185179,8,4,1,0,5.204444444,5,0,0,0,0,0,1,-1,598,118.8,1900,843300,261580,1000.928571,3415.914445,2126.409088,115,1900,1120.5,0,0,0,0,0,1,0,1,0.040001107,0.040000193,0.839996431,0.040000108,0.040002161,0.344791667,0.025,0.008888889,0.008888889,0.5,0.5,0.316666667,0.2,0.433333333,-0.216666667,-0.333333333,-0.1,0,0,0.5,0,1100
http://mashable.com/2014/11/13/yahoo-answers-lounge-singers/,54,16,980,0.438894792,0.999999998,0.597602739,7,2,7,0,4.874489796,10,0,0,0,0,0,1,-1,1300,420.7,2200,843300,210410,1235.714286,6928.75,2929.125633,2200,12000,7100,0,0,0,0,0,1,0,1,0.020000751,0.020000585,0.455371217,0.020000381,0.484627066,0.487203704,0.044489418,0.052040816,0.030612245,0.62962963,0.37037037,0.268870215,0.05,0.75,-0.295277778,-0.9,-0.05,0.767857143,-0.157142857,0.267857143,0.157142857,3000
http://mashable.com/2014/11/14/airbnb-airplane/,54,12,600,0.472454089,0.999999997,0.668711654,5,3,2,1,4.455,4,0,0,0,0,1,0,-1,0,-1,663600,843300,708525,2910.008878,3415.914445,3082.555466,4500,4500,4500,0,0,0,0,0,1,0,1,0.05003451,0.050002247,0.050014096,0.050000331,0.799948816,0.469484127,0.110267857,0.038333333,0.015,0.71875,0.28125,0.328623188,0.05,0.6,-0.241402116,-0.5,-0.166666667,0,0,0.5,0,2800
http://mashable.com/2014/11/14/al-roker-weather-telecast-world-record/,53,10,634,0.549488054,0.999999998,0.65770171,45,3,1,0,4.917981073,10,0,1,0,0,0,0,-1,798,174.3333333,0,843300,267679.8,0,4331.680758,2714.747309,3400,32500,17950,0,0,0,0,0,0,1,1,0.020687996,0.918638031,0.020120951,0.020551738,0.020001283,0.519871795,-0.047613861,0.025236593,0.015772871,0.615384615,0.384615385,0.271502976,0.033333333,0.6,-0.41297619,-1,-0.071428571,0.2,0.2,0.3,0.2,1800
http://mashable.com/2014/11/14/amazon-and-hachette-a-report-card-on-winners-nobody-and-losers-everybody/,53,12,588,0.469964663,0.999999997,0.626112758,11,4,2,0,4.75170068,6,0,0,1,0,0,0,-1,773,192.5,0,843300,303266.6667,0,4183.873199,1957.206509,734,3700,1825.75,0,0,0,0,0,0,1,1,0.657536314,0.033342199,0.033391268,0.033362826,0.242367394,0.319363131,0.070038384,0.030612245,0.022108844,0.580645161,0.419354839,0.333230519,0.0625,0.5,-0.175534188,-0.3125,-0.1,0,0,0.5,0,1200
http://mashable.com/2014/11/14/and-you-thought-your-forehead-was-big/,53,10,414,0.55802469,0.999999996,0.693726935,4,1,1,0,5.217391304,7,0,0,0,0,0,1,-1,1200,233.1428571,1200,843300,281728.5714,1200,3414.869847,2252.637147,3900,3900,3900,0,0,0,0,0,0,1,1,0.028573898,0.029049121,0.741554071,0.028843353,0.171979557,0.265839429,0.067128178,0.019323671,0.012077295,0.615384615,0.384615385,0.375284091,0.1,0.5,-0.231111111,-0.4,-0.1,0,0,0.5,0,1200
http://mashable.com/2014/11/14/annoying-interview-habits/,53,6,552,0.518446601,0.999999997,0.611731842,59,25,13,4,4.820652174,7,0,0,0,0,0,0,-1,1300,259.2,0,843300,291671.4286,0,7090.86518,3502.299789,1000,144900,15072.72727,0,0,0,0,0,0,1,1,0.175010685,0.028582248,0.028581819,0.739253212,0.028572035,0.56018876,0.341972329,0.050724638,0.009057971,0.848484848,0.151515152,0.508588435,0.15,1,-0.315,-0.5,-0.125,1,1,0.5,1,8500
http://mashable.com/2014/11/14/apple-responds-masque-attack/,53,10,356,0.595441594,0.999999995,0.725581392,8,2,1,0,5.042134831,4,0,1,0,0,0,0,-1,1100,274.25,143100,843300,350575,3040.602223,29920,10007.55529,1100,2300,1700,0,0,0,0,0,0,1,1,0.300014683,0.549182857,0.050000927,0.050800341,0.050001192,0.436538462,0.175,0.016853933,0.008426966,0.666666667,0.333333333,0.483333333,0.1,1,-0.175,-0.3,-0.1,0,0,0.5,0,1600
http://mashable.com/2014/11/14/artists-thanksgiving/,53,12,310,0.59722222,0.999999996,0.665198235,45,5,21,0,5.058064516,8,1,0,0,0,0,0,-1,489,119.375,32000,843300,304437.5,3062.034483,7090.86518,4366.064071,3200,3200,3200,0,0,0,0,0,0,1,1,0.187490846,0.025020275,0.025059147,0.595023734,0.167405998,0.478977273,0.109943182,0.032258065,0.019354839,0.625,0.375,0.413636364,0.136363636,0.85,-0.322916667,-1,-0.175,0.1,0,0.4,0,2200
http://mashable.com/2014/11/14/assassins-creed-unity-review/,53,12,136,0.735294112,0.999999988,0.855421676,3,3,0,1,4.404411765,10,0,1,0,0,0,0,-1,7600,1122.25,0,843300,157520,0,7600,3003.364433,2200,2200,2200,0,0,0,0,0,0,1,1,0.020001308,0.02060809,0.020000777,0.919389209,0.020000616,0.497348485,-0.0495671,0.036764706,0.036764706,0.5,0.5,0.354545455,0.136363636,0.5,-0.493333333,-0.6,-0.166666667,0.9,-0.6,0.4,0.6,969
